offre,demande_totale,part_30min,part_60min,part_120min,part_non_atteignable,mediane_min
SONUC,3252136.0,0.5694300550985726,0.7805573457520538,0.9406181674439594,0.048485674556928565,19.36595640610576
SONUC élargi,3252136.0,0.9052925376993538,0.9467050330540551,0.9573508198358888,0.0422528003914491,5.533227574079421
Toute offre de soins,3252136.0,0.9074920354926238,0.9478933327661166,0.9585420911418946,0.04106450067938752,5.2329970480378485
