departement,pcode,commune,cellules,population,demande_obstetricale,HOPITAL_NC,SONUB,SONUC
North-East,HT0423,Mont-Organise,17,24682.0,6367.0,3.0,0.0,0.0
North-East,HT0431,Trou du Nord,27,57212.0,15700.0,5.0,8.0,0.0
North-East,HT0432,Sainte Suzanne,6,32812.0,7545.0,6.0,0.0,0.0
North-East,HT0433,Terrier Rouge,30,35373.0,8963.000000000002,5.0,0.0,0.0
North-East,HT0434,Caracol,27,9005.000000000002,2288.0000000000005,7.0,1.0,0.0
North-East,HT0441,Vallieres,2,27514.0,7037.0,4.0,0.0,0.0
North-East,HT0442,Carice,5,15825.0,3768.0,4.0,0.0,0.0
North-East,HT0443,Mombin Crochu,8,40343.0,9921.000000000002,3.0,0.0,0.0
North-West,HT0911,Port-de-Paix,114,210942.0,62936.99999999999,17.0,0.0,1.0
North-West,HT0912,La Tortue,33,40156.0,10364.000000000002,6.0,0.0,0.0
North-West,HT0913,Bassin Bleu,31,65669.0,17011.0,7.0,0.0,0.0
North-West,HT0914,Chamsolme,17,31537.0,7965.999999999999,1.0,0.0,0.0
North-West,HT0921,Saint-Louis du Nord,25,120555.0,32948.0,15.0,0.0,0.0
North-West,HT0922,Anse-a-Foleur,5,31659.000000000004,7944.000000000001,3.0,0.0,0.0
North-West,HT0931,Mole Saint Nicolas,19,36005.0,9144.0,5.0,1.0,0.0
North-West,HT0932,Baie de Henne,46,28588.0,7080.0,7.0,0.0,0.0
North-West,HT0933,Bombardopolis,75,37868.0,9236.0,6.0,0.0,0.0
North-West,HT0934,Jean Rabel,94,156750.0,41747.0,20.0,0.0,0.0
South,HT0711,Les Cayes,136,207438.99999999997,60684.0,17.0,6.0,24.0
South,HT0712,Torbeck,101,93827.0,23747.000000000004,5.0,1.0,2.0
South,HT0713,Chantal,74,41237.0,10212.0,2.0,0.0,1.0
South,HT0714,Camp-Perrin,67,51550.0,13265.0,6.0,2.0,0.0
South,HT0715,Maniche,31,27507.0,6159.999999999999,4.0,1.0,0.0
South,HT0716,Ile a Vache,42,17491.0,4263.0,1.0,1.0,0.0
South,HT0721,Port-Salut,24,25431.0,6106.0,5.0,0.0,0.0
South,HT0722,Saint Jean du Sud,57,35362.0,8374.0,3.0,1.0,0.0
South,HT0723,Arniquet,24,35838.0,8267.0,1.0,0.0,1.0
South,HT0731,Aquin,300,123719.0,33336.0,13.0,0.0,4.0
South,HT0732,Saint Louis du Sud,104,80295.0,21736.0,5.0,0.0,0.0
South,HT0733,Cavaillon,74,63397.0,15620.0,9.0,0.0,0.0
South,HT0741,Coteaux,54,25395.0,6191.0,4.0,0.0,0.0
South,HT0742,Port-a-Piment,24,26647.0,6253.0,0.0,0.0,1.0
South,HT0743,Roche a Bateau,29,28335.0,6457.0,0.0,0.0,1.0
South,HT0751,Chardonnieres,37,32835.0,7622.000000000001,1.0,0.0,1.0
South,HT0752,Les Anglais,43,39577.0,9531.0,1.0,0.0,0.0
South,HT0753,Tiburon,72,28474.0,7155.0,,0.0,0.0
South-East,HT0211,Jacmel,194,258099.00000000003,69951.0,15.0,2.0,7.0
South-East,HT0212,Marigot,46,92869.0,24979.0,6.0,0.0,0.0
South-East,HT0213,Cayes-Jacmel,19,49844.99999999999,12832.0,7.0,0.0,0.0
South-East,HT0214,La Vallee,60,47372.0,10786.0,3.0,1.0,0.0
South-East,HT0221,Bainet,148,113034.0,26239.0,10.0,1.0,0.0
South-East,HT0222,Cotes de Fer,116,63370.0,14000.0,4.0,0.0,1.0
South-East,HT0231,Belle Anse,28,95781.0,24230.0,8.0,0.0,0.0
South-East,HT0232,Grand Gosier,9,25416.0,6167.0,1.0,0.0,0.0
South-East,HT0233,Thiotte,13,46178.0,11686.0,6.0,0.0,0.0
South-East,HT0234,Anse-a-Pitre,16,43459.0,10673.0,1.0,0.0,1.0
West,HT0111,Port-au-Prince,43,926906.0,305055.0,24.0,24.0,57.0
West,HT0112,Delmas,34,435779.0,135232.0,46.0,12.0,12.0
West,HT0113,Carrefour,116,460506.0,146744.0,35.0,8.0,3.0
West,HT0114,Petion-Ville,114,394895.0,120159.0,28.0,4.0,3.0
West,HT0115,Kenscoff,96,63006.0,16365.0,6.0,0.0,0.0
West,HT0116,Gressier,55,3987.0,982.0,7.0,3.0,0.0
West,HT0117,Cite Soleil,32,287439.0,86828.00000000001,15.0,6.0,1.0
West,HT0118,Tabarre,35,141693.0,44250.0,11.0,9.0,3.0
West,HT0121,Leogane,226,233614.0,58987.00000000001,22.0,2.0,0.0
West,HT0122,Petit-Goave,256,194867.0,46231.99999999999,15.0,3.0,0.0
West,HT0123,Grand-Goave,177,157549.0,36926.99999999999,10.0,0.0,0.0
West,HT0131,Croix-Des-Bouquets,354,129879.0,35820.0,50.0,37.0,1.0
West,HT0132,Thomazeau,142,54753.0,13215.000000000002,0.0,6.0,0.0
West,HT0133,Ganthier,195,65036.00000000001,17117.0,7.0,1.0,0.0
West,HT0134,Cornillon / Grand Bois,20,66185.0,14475.0,4.0,0.0,0.0
West,HT0135,Fonds-Verrettes,59,54717.0,11884.0,4.0,1.0,0.0
West,HT0141,Arcahaie,159,142752.0,35825.0,18.0,1.0,0.0
West,HT0142,Cabaret,104,65302.0,16472.0,9.0,0.0,0.0
West,HT0151,Anse a Galets,78,70156.0,16881.0,2.0,0.0,2.0
West,HT0152,Pointe a Raquette,83,26818.0,5754.0,7.0,0.0,1.0
