arete,demande_decrochee,minutes_perdues_ponderees,charge,classe,commune
279959,19689.22344445089,1210501.4363324847,47243.48560856272,primary,HT0531
282921,13826.90660103087,1024704.2712168084,40708.641724611916,primary,HT0531
280639,9895.857757142141,553394.7502751017,47636.24426449689,primary,HT0531
281592,9765.704514593766,411402.10345461906,43632.3038474477,primary,HT0531
244336,3292.638407033357,340877.7570643955,29660.34115076811,primary,HT0621
244489,3284.1187157651257,339930.7689241988,29625.35560581694,primary,HT0621
244600,1974.0839217969194,198502.85212342785,21770.61408923778,primary,HT0621
1335505,1974.0839217969194,197598.6178621909,21732.6408922712,primary,HT0621
1085802,0.0,121143.78030034914,67550.01964254472,primary,HT0111
532257,1478.101889438464,65411.35604007787,50788.189670547035,primary,HT0531
741562,31.464345889331838,59772.407575353136,19051.233994233837,secondary,HT0542
527548,0.0,52032.787329314095,93994.54187197323,tertiary,HT0531
740123,31.464345889331838,44334.41178224923,25288.654895142314,secondary,HT0542
283295,1385.6867731571222,30873.95455532139,38067.62295854746,primary,HT0531
856291,0.0,11093.021225056062,22091.660022100965,tertiary,HT0111
242606,0.0,2351.3723164729754,30626.989134401912,unclassified,HT0621
759126,0.0,1895.503809136179,20676.68937171758,tertiary,HT0111
1335193,3098.093586866952,0.0,13002.769850715136,tertiary,HT0621
