scenario,demande_totale,part_30min,part_60min,part_120min,part_non_atteignable,mediane_min,troncons_coupes,hopitaux_ouverts,ecart_points_pct,demande_decrochee
"Référence, réseau et offre intacts",3252136.0,0.5694300550985726,0.7805573457520538,0.9406181674439594,0.048485674556928565,19.36595640610576,0,198,0.0,0.0
A. 10 points de contrôle,3252136.0,0.5657682013431827,0.7734448917097464,0.9403096915771926,0.048508108656215236,19.40017247580883,10,198,-0.7112454042307426,23131.0
B. Encerclement de la ZMPP,3252136.0,0.5577704192675452,0.7630132652081767,0.9284577078522984,0.059153145867261635,20.030261807449914,555,198,-1.7544080543877127,57056.0
C. A et B cumulés,3252136.0,0.5541085655121555,0.7559008111658696,0.9265454789442207,0.059175579966548306,20.030261807449914,565,198,-2.465653458618422,80186.0
D. Fermeture des hôpitaux de la ZMPP,3252136.0,0.45444959950259917,0.7749501477045255,0.9397852417436369,0.048485674556928565,31.789549969870123,0,121,-0.5607198047528295,18235.0
E. C et D cumulés,3252136.0,0.41264985972602247,0.7440516698108964,0.9225577748323134,0.059175579966548306,33.38621959092683,565,121,-3.650567594115739,118721.0
