departement,pcode,commune,demande,population,mediane_sonuc_min,part_60min_sonuc,part_120min_sonuc,part_60min_sonuc_elargi,part_60min_sonu
South,HT0732,Saint Louis du Sud,21736.0,80295.0,37.94776066373323,0.903936705211905,0.9408570610811419,0.9408570610811419,0.9408570610811419
Nippes,HT1013,Fonds des Negres,10599.999999999998,38319.0,21.799466942173765,0.907359951372732,0.9120639549267129,0.9120639549267129,0.9120639549267129
North-West,HT0921,Saint-Louis du Nord,32948.0,120555.00000000001,27.719388832650964,0.9132388455395128,0.9413718222736607,0.9132388455395128,0.9132388455395128
Nippes,HT1023,L'Asile,11481.999999999998,45890.0,41.145715987138416,0.9135322793384997,0.9740515393743544,0.9707707638599244,0.9707707638599244
Centre,HT0614,Cerca Carvajal,7889.0,31774.0,57.221785158676354,0.9199371978378412,1.0,1.0,1.0
South,HT0752,Les Anglais,9531.000000000002,39577.0,33.44738879904995,0.9208173580998433,0.9554603788755623,0.9554603788755623,0.9554603788755623
Centre,HT0621,Mirebalais,34605.00000000001,129573.00000000001,5.366475121201685,0.9217675450800878,0.9217675450800878,0.9217675450800878,0.9217675450800878
South,HT0714,Camp-Perrin,13265.0,51550.0,30.891556402880664,0.927637900573528,0.9690406392324288,0.9631576323956115,0.9631576323956115
Artibonite,HT0541,Dessalines,47191.0,185387.00000000003,17.493333071602684,0.929964510849279,0.9831825670711191,0.9831825670711191,0.9831825670711191
North,HT0332,Bahon,6037.0,24534.0,41.50313509539109,0.9328687811597364,0.9328687811597364,0.9328687811597364,0.9328687811597364
Artibonite,HT0531,Saint-Marc,82866.0,281577.0,7.052098927446455,0.9365129943573702,0.9510524221502438,0.9401059897580041,0.9401059897580041
West,HT0113,Carrefour,146744.0,460506.0,11.330129954164992,0.9379998647002412,0.952092865638999,0.9483261114218638,0.9483261114218638
Artibonite,HT0544,Desdunes,10098.999999999998,37602.00000000001,9.323153394040759,0.9386883703772433,0.9617824971524991,0.9386883703772433,0.9386883703772433
Artibonite,HT0543,Grande Saline,6238.0,23598.0,7.777442987337302,0.9419897691944312,0.9419897691944312,0.9419897691944312,0.9419897691944312
West,HT0111,Port-au-Prince,305054.99999999994,926905.9999999999,4.403607864447582,0.9430378259622206,0.9430378259622206,0.9430378259622206,0.9430378259622206
West,HT0131,Croix-Des-Bouquets,35820.0,129878.99999999999,16.52508541757591,0.9501349443118718,0.9579204881048269,0.9593925819228794,0.9593925819228794
Centre,HT0641,Cerca La Source,18372.0,73040.99999999999,45.333591848437365,0.9534813451527879,1.0,1.0,1.0
North-East,HT0412,Ferrier,4268.999999999999,17053.999999999996,43.230189793509496,0.9537106685126119,1.0,1.0,1.0
North-East,HT0433,Terrier Rouge,8963.000000000002,35373.0,43.982932228147575,0.953913921519371,0.953913921519371,0.953913921519371,0.953913921519371
South,HT0712,Torbeck,23747.000000000004,93827.00000000001,14.791250087599476,0.9541740165698201,0.9675311902217902,0.9648817161906293,0.9648817161906293
South,HT0751,Chardonnieres,7622.000000000001,32835.0,11.83675427490491,0.9548117564686892,0.9633463299779974,0.9548117564686892,0.9548117564686892
West,HT0132,Thomazeau,13215.0,54753.0,33.59183292680898,0.9551536199743038,0.9841651855308426,0.9819852850119271,0.9819852850119271
South,HT0731,Aquin,33336.0,123719.00000000001,15.772923689811169,0.9620683993424634,0.9634020190845741,0.962603359651082,0.962603359651082
Nippes,HT1014,Paillant,5671.0,19644.0,51.88108224474627,0.9681414559065749,1.0,1.0,1.0
Centre,HT0611,Hinche,43101.0,163137.0,42.82896395071945,0.9692693943171079,1.0,0.9924647884328726,0.9924647884328726
North,HT0352,Port-Margot,13010.0,52744.99999999999,50.64569277715938,0.9714349767836838,1.0,1.0,1.0
Centre,HT0642,Thomassique,20996.999999999996,85148.0,16.067799016739094,0.973734541892742,1.0,1.0,1.0
Grande'Anse,HT0822,Dame Marie,10835.999999999998,41207.0,44.67199722747603,0.9756604085684036,1.0,1.0,1.0
Nippes,HT1011,Miragoane,19606.000000000004,70617.0,43.316606127252506,0.9770448974499846,0.9876474457708481,0.9876474457708481,0.9876474457708481
West,HT0151,Anse a Galets,16880.999999999996,70156.00000000003,26.157008610020956,0.9780919412019864,0.9789434709723579,0.9785165993796973,0.9785165993796973
North,HT0331,Grande Riviere Du Nord,11919.0,43815.99999999999,28.14130452241001,0.9843866837418173,0.9843866837418173,0.9843866837418173,0.9843866837418173
West,HT0114,Petion-Ville,120158.99999999999,394895.00000000006,12.892799447929997,0.986140729429538,0.996525337393962,0.9895155729041318,0.9895155729041318
North-East,HT0421,Ouanaminthe,34949.0,123320.0,4.096636113615881,0.9887388310636888,0.9887388310636888,0.9887388310636888,0.9887388310636888
Centre,HT0631,Lascahobas,16447.0,65198.0,32.776042688625346,0.9888385872478674,0.9926843459220489,0.9926843459220489,0.9926843459220489
North,HT0321,Acul du Nord,15800.999999999998,59631.99999999999,28.66904624271063,0.990871229263764,0.990871229263764,0.990871229263764,0.990871229263764
West,HT0117,Cite Soleil,86828.00000000001,287439.0,10.287715172919047,0.994415810991467,0.994415810991467,0.994415810991467,0.994415810991467
North-West,HT0911,Port-de-Paix,62937.0,210941.99999999997,7.39848926932237,0.9967772272995843,1.0,0.9984468377500892,0.9984468377500892
Artibonite,HT0511,Gonaives,110789.00000000001,366051.00000000006,5.455676926748529,0.9968031493743827,1.0,0.9994085729538345,0.9994085729538345
North,HT0322,Plaine du Nord,11749.0,43982.00000000001,21.279645996603385,0.9977962270710986,0.9977962270710986,0.9977962270710986,0.9977962270710986
North-East,HT0431,Trou du Nord,15700.0,57212.0,28.453535789019135,0.9986194124100428,0.9986194124100428,0.9986194124100428,0.9986194124100428
North,HT0361,Limbe,25318.000000000004,90050.0,38.0135888620447,0.9994476191188029,1.0,1.0,1.0
North,HT0311,Cap-Haitien,97765.0,303589.99999999994,8.394394834297215,0.9997330893310058,0.9997330893310058,0.9997330893310058,0.9997330893310058
South,HT0721,Port-Salut,6106.0,25431.0,18.76710272981414,1.0,1.0,1.0,1.0
Artibonite,HT0512,Ennery,13251.000000000002,52529.00000000001,37.730283248065405,1.0,1.0,1.0,1.0
Artibonite,HT0533,La Chapelle,7694.000000000001,32609.0,32.491559665131305,1.0,1.0,1.0,1.0
Artibonite,HT0552,Marmelade,9778.0,39658.99999999999,44.50492598931112,1.0,1.0,1.0,1.0
Centre,HT0622,Saut d'Eau,12991.999999999998,52389.000000000015,15.861791645175007,1.0,1.0,1.0,1.0
Grande'Anse,HT0813,Bonbon,2374.0,10653.0,31.03243658928301,1.0,1.0,1.0,1.0
North,HT0312,Quartier Morin,7966.999999999999,29881.0,6.935254457718446,1.0,1.0,1.0,1.0
North,HT0313,Limonade,15921.0,61261.0,11.256192094582783,1.0,1.0,1.0,1.0
North,HT0323,Milot,8825.999999999998,34193.0,17.34309276438124,1.0,1.0,1.0,1.0
West,HT0118,Tabarre,44250.0,141693.00000000003,8.956248395037294,1.0,1.0,1.0,1.0
North,HT0341,Saint-Raphael,14336.999999999998,56607.0,2.10921902805624,1.0,1.0,1.0,1.0
North,HT0345,La Victoire,2799.0000000000005,11101.0,43.98165804150219,1.0,1.0,1.0,1.0
South,HT0723,Arniquet,8267.0,35838.0,19.194384912613657,1.0,1.0,1.0,1.0
North,HT0362,Bas Limbe,5871.000000000001,22052.000000000004,49.75347636880924,1.0,1.0,1.0,1.0
West,HT0112,Delmas,135232.0,435779.0,5.814834698434823,1.0,1.0,1.0,1.0
North-East,HT0413,Perches,3595.0,13700.0,56.19192785039196,1.0,1.0,1.0,1.0
South-East,HT0234,Anse-a-Pitre,10673.0,43459.0,4.824287068519668,1.0,1.0,1.0,1.0
North-East,HT0422,Capotille,5549.0,22559.0,30.88896731037021,1.0,1.0,1.0,1.0
South-East,HT0232,Grand Gosier,6167.0,25416.0,47.036653377329536,1.0,1.0,1.0,1.0
North-East,HT0423,Mont-Organise,6367.0,24682.000000000004,44.347217565485636,1.0,1.0,1.0,1.0
North-East,HT0442,Carice,3768.0,15825.0,47.71278980760741,1.0,1.0,1.0,1.0
North-West,HT0914,Chamsolme,7966.0,31537.0,16.34475519729435,1.0,1.0,1.0,1.0
North-West,HT0922,Anse-a-Foleur,7944.000000000001,31659.0,32.982170748279486,1.0,1.0,1.0,1.0
South,HT0711,Les Cayes,60684.0,207439.0,6.692168115464036,1.0,1.0,1.0,1.0
North,HT0344,Pignon,12067.000000000002,46806.0,25.18974127963958,1.0,1.0,1.0,1.0
North-East,HT0411,Fort-Liberte,11196.999999999996,40129.0,25.95673877705893,1.0,1.0,1.0,1.0
